Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow
2010-06-18,Sydney,9.8,18.0,0.6,3.0,9.6,,,W,W,15.0,9.0,58.0,39.0,1017.1,1015.5,,,12.1,17.8,No,,
2010-10-09,Sydney,15.8,18.9,0.0,5.2,0.0,ESE,31.0,ESE,ENE,20.0,11.0,59.0,55.0,1026.4,1025.3,,,17.0,18.3,No,,
2010-11-12,Sydney,19.1,26.8,0.0,9.0,12.6,NE,48.0,WNW,NE,6.0,24.0,67.0,57.0,1013.8,1011.9,1.0,3.0,24.3,25.6,No,,
2014-09-16,Sydney,15.2,21.7,0.0,4.8,5.1,,,NE,ENE,28.0,4.0,76.0,66.0,1009.9,1005.5,6.0,3.0,18.6,20.6,No,,
2014-10-31,Sydney,16.3,30.2,0.0,9.2,11.7,NNE,41.0,WNW,ENE,13.0,13.0,55.0,43.0,1013.4,1008.2,1.0,6.0,22.4,26.3,No,,
2014-11-27,Sydney,18.9,20.9,0.4,7.6,0.0,ESE,43.0,SSE,SE,26.0,20.0,71.0,61.0,1022.0,1022.4,6.0,7.0,19.8,20.3,No,,
2014-11-28,Sydney,,23.3,,3.4,11.9,ENE,37.0,E,E,13.0,19.0,,46.0,,1021.3,3.0,2.0,,22.3,,,
2015-11-11,SydneyAirport,19.1,24.4,0.0,8.6,0.0,S,46.0,SSW,E,20.0,9.0,83.0,60.0,1020.3,1020.3,7.0,7.0,20.0,22.9,No,,
2017-03-14,SydneyAirport,22.8,27.1,0.4,7.6,0.5,ENE,46.0,E,ENE,20.0,20.0,75.0,87.0,1019.4,1020.1,7.0,8.0,24.1,22.8,No,,
2017-03-18,SydneyAirport,18.9,25.2,25.6,2.8,3.6,S,76.0,SE,SE,35.0,28.0,90.0,87.0,1023.2,1022.5,8.0,7.0,22.4,23.1,Yes,,
2017-03-22,SydneyAirport,21.9,31.9,29.8,6.0,4.4,SW,57.0,NW,SE,7.0,20.0,84.0,61.0,1012.4,1010.6,7.0,6.0,25.4,30.9,Yes,,
2010-12-31,Canberra,12.4,33.9,0.0,8.0,11.6,NW,33.0,N,NW,2.0,13.0,81.0,25.0,1016.1,1013.5,1.0,1.0,20.1,32.8,No,,
2011-03-07,Canberra,5.5,25.0,0.0,4.0,10.3,N,28.0,NNE,NW,4.0,11.0,79.0,36.0,1025.4,1020.1,1.0,1.0,12.4,23.9,No,,
2011-06-03,Canberra,2.5,16.5,0.0,2.2,6.6,WNW,41.0,,WNW,0.0,24.0,99.0,40.0,1021.4,1016.9,8.0,3.0,5.8,15.8,No,,
2011-06-04,Canberra,4.4,13.2,,2.2,0.6,,,NNW,WNW,26.0,22.0,77.0,58.0,,,8.0,,10.6,11.9,,,
2011-07-13,Canberra,3.0,11.0,0.0,2.4,2.1,WNW,46.0,NW,NW,9.0,31.0,65.0,75.0,1020.3,1018.8,6.0,7.0,6.8,7.2,No,,
2011-09-05,Canberra,7.5,20.0,1.2,2.8,5.2,,,,NW,0.0,30.0,83.0,40.0,1027.6,1024.0,6.0,3.0,12.7,18.0,Yes,,
2011-09-07,Canberra,-0.5,14.3,7.0,1.8,9.4,NW,28.0,NW,WNW,9.0,11.0,81.0,38.0,1021.0,1018.6,6.0,1.0,6.6,14.0,Yes,,
2011-09-15,Canberra,1.6,17.7,0.0,5.4,11.0,,,NW,WNW,7.0,30.0,59.0,29.0,1022.2,1018.5,1.0,,11.8,17.0,No,,
2011-12-20,Canberra,12.6,24.9,1.6,,,N,28.0,E,N,7.0,15.0,74.0,50.0,1012.5,1012.0,6.0,8.0,18.8,22.7,Yes,,
2012-06-07,Canberra,-3.5,12.1,0.0,1.6,8.0,SE,17.0,,NW,0.0,7.0,,49.0,1025.3,1022.5,0.0,,1.3,11.8,No,,
2014-02-20,Canberra,10.1,21.5,33.2,,,,,NW,WNW,24.0,30.0,62.0,34.0,1006.3,1008.9,,,13.5,20.0,Yes,,
2014-05-10,Canberra,4.0,14.4,0.0,,,,,,NW,0.0,13.0,89.0,78.0,1023.9,1020.8,8.0,8.0,8.5,13.0,No,,
2015-03-01,Canberra,12.6,31.2,0.0,,,,,SSW,WNW,6.0,26.0,61.0,42.0,1006.7,1006.9,1.0,,21.9,26.9,No,,
2015-03-02,Canberra,,26.4,,,,,,,NW,,9.0,,34.0,,1015.0,,,,24.9,,,
2015-08-11,Canberra,3.1,13.6,0.0,,,NW,44.0,NNW,NW,20.0,24.0,74.0,42.0,1014.7,1012.0,,,8.8,12.4,No,,
2015-10-25,Canberra,4.7,26.5,0.0,,,,,SE,NNW,2.0,26.0,65.0,35.0,1021.9,1017.4,,,15.7,25.7,No,,
2017-03-08,Canberra,8.9,21.5,0.0,,,,,SSE,E,15.0,20.0,66.0,55.0,1019.7,1018.1,,,15.0,19.7,No,,
2017-03-31,Canberra,7.2,20.2,7.6,,,,,S,S,19.0,9.0,63.0,40.0,1018.0,1015.3,,1.0,10.6,18.7,Yes,,
2011-02-04,Melbourne,18.2,30.4,2.4,4.0,1.6,N,54.0,N,N,31.0,24.0,85.0,83.0,1010.1,1007.3,7.0,7.0,24.0,26.2,Yes,,
2011-02-05,Melbourne,18.1,20.3,,7.6,0.0,WSW,54.0,SW,SSW,11.0,11.0,96.0,77.0,1006.1,1006.9,,,18.4,19.0,,,
2011-02-11,Melbourne,20.9,25.8,1.8,6.0,0.2,N,46.0,NNW,SSW,15.0,20.0,83.0,87.0,1010.2,1010.0,7.0,8.0,23.2,21.0,Yes,,
2011-02-12,Melbourne,15.4,21.1,,10.4,8.8,SSE,41.0,SSE,S,28.0,24.0,58.0,41.0,1020.5,1019.6,,,15.6,20.1,,,
2011-02-18,Melbourne,19.3,29.4,0.0,3.8,3.3,SSW,24.0,W,SE,7.0,7.0,73.0,48.0,1014.6,1010.5,8.0,7.0,21.3,28.6,No,,
2011-02-19,Melbourne,19.8,28.7,,4.2,10.5,W,63.0,NNW,W,24.0,44.0,70.0,42.0,999.0,1002.9,,,25.3,27.9,,,
2011-02-23,Melbourne,15.5,23.8,0.0,3.6,9.2,SSE,30.0,SE,S,11.0,19.0,65.0,56.0,1026.5,1023.2,7.0,1.0,16.7,21.0,No,,
2011-02-24,Melbourne,13.7,25.0,,4.2,10.4,S,31.0,N,S,9.0,17.0,74.0,50.0,1019.9,1017.0,5.0,6.0,15.8,21.9,,,
2011-06-03,Melbourne,12.2,17.0,0.0,2.2,2.2,N,67.0,N,N,39.0,22.0,63.0,56.0,1016.4,1013.4,7.0,7.0,13.8,16.7,No,,
2011-06-04,Melbourne,11.7,16.9,,2.0,7.1,W,44.0,WNW,WSW,17.0,15.0,70.0,47.0,1014.7,1014.9,,,11.8,15.6,,,
2011-06-08,Melbourne,4.9,12.0,6.6,1.2,4.7,SW,57.0,WSW,SW,31.0,39.0,77.0,73.0,1019.2,1018.9,6.0,6.0,6.8,10.9,Yes,,
2011-06-10,Melbourne,9.8,16.2,2.6,0.4,5.9,SSE,35.0,SSW,S,17.0,22.0,77.0,65.0,1023.6,1024.3,6.0,,11.9,13.7,Yes,,
2011-06-11,Melbourne,10.1,16.3,,1.0,7.3,SSE,33.0,WSW,SSE,9.0,26.0,75.0,62.0,1030.0,1029.2,,,11.2,14.8,,,
2011-06-12,Melbourne,6.7,15.3,,1.4,4.0,S,31.0,SW,S,7.0,24.0,97.0,66.0,1031.3,1028.8,,,7.8,14.3,,,
2011-06-17,Melbourne,6.3,14.4,4.4,1.2,4.8,SW,63.0,WSW,SW,30.0,31.0,80.0,54.0,1008.5,1010.3,6.0,7.0,10.7,13.2,Yes,,
2011-06-18,Melbourne,9.4,16.8,,1.6,5.0,WSW,50.0,W,WSW,17.0,20.0,83.0,61.0,1013.5,1013.4,,,12.1,16.1,,,
2011-07-08,Melbourne,6.6,12.5,0.0,1.4,0.3,W,43.0,NNW,NW,15.0,22.0,62.0,55.0,1023.7,1021.1,7.0,7.0,9.6,12.2,No,,
2011-07-09,Melbourne,8.4,14.8,,1.4,8.6,W,48.0,NW,W,15.0,28.0,67.0,45.0,1020.2,1017.8,,,9.1,14.2,,,
2011-07-10,Melbourne,7.6,13.4,,2.4,1.2,WNW,63.0,NW,W,26.0,39.0,55.0,90.0,1011.0,1010.0,,,10.9,11.4,,,
2011-07-22,Melbourne,8.9,17.5,0.8,0.2,8.8,WNW,20.0,W,WSW,13.0,9.0,80.0,56.0,1025.2,1022.9,1.0,2.0,9.6,15.2,No,,
2011-07-23,Melbourne,5.5,13.0,,1.4,3.0,N,24.0,N,S,17.0,9.0,90.0,64.0,1024.4,1021.1,,,6.7,12.4,,,
2011-07-26,Melbourne,7.9,14.1,5.2,0.8,3.2,WSW,31.0,W,SW,19.0,20.0,84.0,58.0,1023.0,1023.5,7.0,7.0,9.3,13.7,Yes,,
2011-08-05,Melbourne,13.3,18.4,0.0,2.4,1.5,NNE,46.0,WNW,WNW,13.0,13.0,43.0,43.0,1018.2,1017.5,7.0,7.0,15.1,16.0,No,,
2011-08-06,Melbourne,10.4,15.1,,1.6,2.7,W,37.0,N,S,13.0,13.0,79.0,69.0,1017.2,1014.1,,,11.5,13.7,,,
2011-08-12,Melbourne,3.5,13.3,0.0,2.8,5.9,N,24.0,NNW,E,6.0,9.0,95.0,55.0,1021.5,1020.5,8.0,5.0,5.6,12.6,No,,
2011-08-13,Melbourne,4.5,13.8,,0.6,0.2,N,26.0,N,WNW,11.0,9.0,81.0,65.0,1024.2,1022.6,,,7.0,13.3,,,
2011-08-26,Melbourne,8.0,16.5,0.0,3.8,6.9,S,28.0,NW,ENE,7.0,7.0,55.0,42.0,1025.8,1023.3,7.0,,11.1,15.2,No,,
2011-08-27,Melbourne,8.9,19.1,,3.0,7.3,WNW,39.0,N,WNW,19.0,17.0,57.0,38.0,1022.4,1019.4,,,11.5,17.8,,,
2011-09-30,Melbourne,9.5,17.6,3.8,2.4,5.0,WNW,41.0,WSW,WSW,30.0,19.0,62.0,55.0,1004.0,1001.4,6.0,7.0,12.8,14.8,Yes,,
2011-10-01,Melbourne,9.0,14.0,,2.8,0.0,SSE,46.0,S,SSE,20.0,28.0,83.0,74.0,1008.4,1011.8,,,10.5,13.5,,,
2011-10-07,Melbourne,13.1,20.5,0.0,2.2,2.1,NW,33.0,NNE,NNW,7.0,11.0,75.0,60.0,1013.5,1010.8,7.0,,15.5,20.1,No,,
2011-10-08,Melbourne,12.7,19.9,,2.8,3.2,S,31.0,NNW,SSE,7.0,17.0,83.0,71.0,1013.0,1011.3,,,14.1,17.1,,,
2011-10-14,Melbourne,10.4,26.3,0.0,4.0,11.1,N,54.0,N,N,26.0,26.0,68.0,34.0,1015.0,1010.1,3.0,6.0,15.8,25.0,No,,
2011-10-15,Melbourne,15.6,24.0,,5.4,9.2,WSW,59.0,SW,SW,13.0,35.0,60.0,59.0,1007.8,1007.1,,,18.3,18.6,,,
2011-10-21,Melbourne,14.8,16.0,4.4,6.8,0.0,SSE,26.0,WSW,SSW,9.0,11.0,91.0,86.0,1024.6,1023.8,8.0,7.0,15.4,15.3,Yes,,
2011-10-22,Melbourne,13.2,18.1,,0.2,1.4,SW,31.0,ESE,S,9.0,13.0,86.0,80.0,1024.0,1022.0,,,13.4,16.9,,,
2011-10-28,Melbourne,16.8,26.4,0.0,8.8,6.2,N,80.0,N,N,63.0,30.0,53.0,46.0,1010.5,1006.0,7.0,8.0,21.0,25.3,No,,
2011-10-29,Melbourne,15.4,22.9,,3.8,9.0,WSW,50.0,SSW,WSW,11.0,31.0,84.0,42.0,1010.0,1010.1,,,15.8,21.6,,,
2011-10-31,Melbourne,10.9,17.0,22.4,4.0,1.5,SW,37.0,SSW,S,17.0,19.0,76.0,55.0,1025.8,1025.0,7.0,7.0,12.4,15.5,Yes,,
2011-11-04,Melbourne,12.6,20.5,1.2,2.6,5.7,SW,24.0,SSW,WSW,13.0,7.0,68.0,54.0,1020.7,1018.6,7.0,1.0,14.4,18.8,Yes,,
2011-11-05,Melbourne,10.1,30.6,,3.2,12.5,N,39.0,N,NNE,28.0,24.0,60.0,26.0,1015.2,1011.0,,,17.8,29.1,,,
2011-11-11,Melbourne,11.8,24.2,0.0,5.4,10.3,NW,31.0,NNE,N,6.0,13.0,57.0,40.0,1024.2,1020.0,1.0,7.0,16.1,21.4,No,,
2011-11-12,Melbourne,14.9,24.4,,5.0,12.5,S,35.0,SSE,ESE,6.0,13.0,56.0,42.0,1019.6,1017.2,,,18.3,24.0,,,
2011-11-18,Melbourne,15.2,35.0,0.0,8.0,8.9,SW,93.0,N,NNW,39.0,41.0,47.0,26.0,1011.3,1008.2,6.0,7.0,25.7,33.6,No,,
2011-11-19,Melbourne,18.7,22.2,,10.8,0.0,SW,56.0,NE,SSW,13.0,30.0,92.0,86.0,1011.1,1010.8,,,19.0,18.4,,,
2011-11-22,Melbourne,12.9,20.2,0.0,4.8,5.9,S,52.0,W,S,15.0,20.0,57.0,53.0,1012.2,1011.0,7.0,6.0,16.9,19.5,No,,
2011-11-25,Melbourne,14.6,24.8,0.0,6.2,4.0,NNE,28.0,E,N,9.0,11.0,63.0,57.0,1019.5,1015.9,3.0,7.0,19.2,22.7,No,,
2011-11-26,Melbourne,16.9,19.1,,5.2,0.1,W,50.0,WSW,W,20.0,28.0,94.0,81.0,1005.1,1002.4,,,17.6,18.0,,,
2011-12-09,Melbourne,19.3,31.7,0.0,12.6,8.7,NNE,63.0,N,NNW,41.0,20.0,45.0,26.0,1010.6,1007.9,6.0,7.0,24.4,30.6,No,,
2011-12-10,Melbourne,19.0,29.0,,11.0,5.6,N,59.0,N,N,39.0,22.0,50.0,38.0,1006.5,1003.4,,,24.2,27.2,,,
2011-12-23,Melbourne,17.7,30.9,0.0,6.0,9.8,N,41.0,N,S,22.0,9.0,62.0,41.0,1012.7,1009.8,7.0,4.0,22.4,30.6,No,,
2011-12-24,Melbourne,18.2,27.1,,7.0,8.8,S,31.0,E,S,9.0,22.0,78.0,66.0,1011.6,1009.6,,,20.2,24.4,,,
2011-12-25,Melbourne,18.5,29.6,,5.6,5.3,SSW,100.0,ENE,NNE,19.0,30.0,74.0,43.0,1006.7,1002.3,,,21.7,28.8,,,
2011-12-26,Melbourne,17.5,20.7,,12.8,4.1,S,44.0,S,S,24.0,22.0,76.0,69.0,1007.5,1009.3,,,18.3,17.7,,,
2012-01-07,Melbourne,14.8,29.9,0.0,9.0,5.9,N,69.0,N,NNE,54.0,30.0,41.0,21.0,1008.8,1005.1,,,22.2,29.9,No,,
2012-01-13,Melbourne,13.3,20.9,0.6,4.8,5.1,S,50.0,SW,S,20.0,30.0,69.0,47.0,1019.5,1019.1,8.0,7.0,15.4,19.4,No,,
2012-01-14,Melbourne,13.8,19.9,,5.6,3.3,S,46.0,SSW,SSE,17.0,26.0,62.0,53.0,1020.4,1019.7,,,15.4,19.1,,,
2012-01-26,Melbourne,16.1,24.5,0.0,4.4,12.4,S,50.0,S,S,13.0,31.0,67.0,55.0,1018.5,1016.9,,,18.9,23.7,No,,
2012-01-27,Melbourne,16.6,30.7,,8.0,13.0,SSE,39.0,WSW,SSE,9.0,19.0,69.0,55.0,1016.9,1013.5,,,20.5,26.3,,,
2012-01-28,Melbourne,20.0,30.4,,8.2,12.1,SSE,37.0,SW,S,13.0,26.0,64.0,55.0,1012.7,1009.2,,,24.1,27.4,,,
2012-02-03,Melbourne,15.3,27.1,0.0,6.2,12.3,SSE,33.0,WSW,SSE,13.0,20.0,71.0,41.0,1008.4,1005.5,7.0,3.0,18.5,26.1,No,,
2012-02-04,Melbourne,16.3,32.9,,7.4,9.6,N,44.0,NNE,NNW,20.0,24.0,65.0,23.0,1003.8,999.8,,,20.7,31.7,,,
2012-02-10,Melbourne,15.5,26.9,0.0,6.2,7.0,S,52.0,SW,S,11.0,30.0,71.0,52.0,1011.4,1010.0,5.0,6.0,20.5,24.5,No,,
2012-02-11,Melbourne,15.6,21.9,,8.6,5.6,S,41.0,S,S,15.0,24.0,75.0,71.0,1013.7,1013.4,,,18.5,19.6,,,
2012-02-17,Melbourne,18.4,23.9,9.4,4.8,2.5,S,30.0,S,S,17.0,17.0,83.0,61.0,1017.3,1016.0,8.0,6.0,19.0,22.5,Yes,,
2012-02-18,Melbourne,16.4,26.2,,3.2,8.0,SSE,30.0,SW,S,7.0,11.0,85.0,57.0,1018.0,1015.1,,,16.9,25.1,,,
2012-02-24,Melbourne,15.0,37.1,0.0,6.6,12.3,N,39.0,NE,WNW,7.0,15.0,69.0,17.0,1020.6,1017.4,1.0,1.0,19.1,35.8,No,,
2012-02-25,Melbourne,18.8,37.1,,14.2,12.7,N,61.0,N,N,44.0,28.0,33.0,19.0,1017.6,1015.0,,,27.9,35.3,,,
2012-03-02,Melbourne,14.9,23.7,0.6,3.2,7.8,SE,50.0,SE,SE,30.0,26.0,64.0,45.0,1014.5,1013.3,3.0,6.0,17.1,22.1,No,,
2012-03-03,Melbourne,16.1,18.9,,6.2,0.0,E,35.0,SE,E,15.0,13.0,74.0,93.0,1014.4,1010.7,,,16.1,16.4,,,
2012-03-16,Melbourne,18.0,23.4,11.2,3.0,2.4,N,59.0,WSW,WNW,2.0,15.0,75.0,54.0,1008.3,1009.5,7.0,7.0,19.7,22.3,Yes,,
2012-03-17,Melbourne,12.6,22.2,,2.4,10.0,SSE,35.0,W,S,11.0,20.0,73.0,45.0,1019.1,1019.6,,,14.6,21.3,,,
2012-03-23,Melbourne,12.8,18.0,0.0,5.4,6.4,WSW,70.0,W,W,20.0,48.0,61.0,27.0,1005.6,1006.3,7.0,7.0,13.0,17.2,No,,
2012-03-24,Melbourne,12.2,18.2,,4.6,2.4,W,39.0,W,SSW,19.0,17.0,76.0,54.0,1014.1,1016.8,,,13.6,17.2,,,
2012-04-06,Melbourne,16.0,28.5,0.0,4.8,8.0,N,74.0,N,N,33.0,44.0,60.0,44.0,1014.2,1009.0,,,22.6,27.7,No,,
2012-04-07,Melbourne,11.5,19.2,,8.2,8.9,WSW,50.0,WSW,W,26.0,17.0,59.0,48.0,1022.1,1020.7,,,14.4,17.7,,,
2012-04-08,Melbourne,10.2,19.8,,3.2,3.7,WNW,44.0,NNW,WNW,11.0,15.0,65.0,32.0,1018.9,1015.2,,,13.3,19.3,,,
2012-04-20,Melbourne,14.6,22.6,5.4,2.8,6.0,SSE,26.0,W,SSE,7.0,11.0,94.0,66.0,1017.5,1015.6,7.0,,15.9,21.4,Yes,,
2012-04-21,Melbourne,13.4,23.8,,2.6,5.6,E,26.0,NNE,E,6.0,13.0,94.0,58.0,1016.3,1011.8,,,13.9,23.4,,,
2012-04-24,Melbourne,7.9,15.1,4.4,3.4,0.5,WSW,52.0,NNW,WSW,13.0,24.0,92.0,79.0,1012.8,1013.2,8.0,7.0,9.4,12.0,Yes,,
2012-04-27,Melbourne,10.3,20.0,0.4,1.0,6.8,SSW,28.0,W,S,15.0,13.0,80.0,54.0,1023.6,1022.0,3.0,5.0,14.2,18.5,No,,
2012-04-28,Melbourne,9.3,21.6,,2.4,9.3,W,48.0,NNW,WSW,17.0,35.0,71.0,43.0,1021.5,1017.8,,,13.6,20.6,,,
2012-05-04,Melbourne,10.8,17.1,3.0,1.4,5.5,W,48.0,W,WSW,22.0,19.0,68.0,51.0,1021.0,1019.7,3.0,7.0,13.0,15.6,Yes,,
2012-05-05,Melbourne,9.7,14.1,,2.4,2.1,WSW,30.0,W,SSW,15.0,13.0,74.0,83.0,1021.3,1019.0,,,11.0,13.6,,,
2012-05-11,Melbourne,12.0,18.5,1.0,3.2,6.0,SW,46.0,WNW,SW,17.0,24.0,67.0,51.0,1018.3,1017.3,5.0,6.0,13.6,16.3,No,,
2012-05-12,Melbourne,8.8,16.8,,2.2,8.7,W,54.0,W,WSW,24.0,35.0,66.0,45.0,1020.1,1017.2,,,10.9,14.9,,,
2012-05-18,Melbourne,10.3,17.0,0.0,3.6,2.7,N,59.0,N,N,37.0,31.0,60.0,49.0,1022.5,1019.6,7.0,6.0,12.6,16.6,No,,
2012-05-19,Melbourne,11.2,15.9,,2.6,0.3,NNW,35.0,NW,S,11.0,11.0,91.0,58.0,1024.1,1024.1,,,11.4,15.1,,,
2012-05-25,Melbourne,9.3,11.0,4.2,1.4,0.0,WSW,72.0,NW,WSW,20.0,52.0,86.0,87.0,1007.4,1004.9,8.0,8.0,9.3,10.7,Yes,,
2012-05-26,Melbourne,8.5,16.1,,2.4,3.2,S,43.0,WNW,WSW,19.0,20.0,83.0,87.0,1013.7,1014.4,,,10.9,13.3,,,
2012-06-01,Melbourne,6.2,17.7,0.0,2.2,6.6,N,30.0,NNW,SSE,11.0,11.0,87.0,48.0,1030.1,1026.8,6.0,4.0,7.3,16.4,No,,
